,BNS_num,Mean_Dist,P_massfill,P_3dcat,P_2dcat,Area99,DegArea,P_2d
227,1165,92.91226046,0.88918509,0.764604919,0.851123046,544,303.8761676,0.803904814
228,1166,329.1720146,0.358312869,0.332803473,0.339408575,4676,2989.190991,0.336159972
229,1167,178.6816457,0.625988671,0.543921365,0.596600327,1752,737.134446,0.594482218
230,1186,257.4503406,0.469737142,0.400667133,0.445300149,3027,1569.24003,0.41362719
231,1191,285.4101824,0.37308866,0.277472085,0.336685687,3347,1882.492663,0.346642683
232,1194,194.1176057,0.92104601,0.875061255,0.909490572,240,97.05625395,0.89318757
233,1198,237.8674268,0.800577199,0.748160067,0.790290392,1025,466.5545665,0.724067087
234,1199,181.5217315,0.493162249,0.393885593,0.479416877,4452,1928.601268,0.443643767
235,1214,316.9594807,0.217540152,0.186670986,0.214470662,4104,2351.604447,0.180487024
236,1224,271.9816163,0.456934105,0.413926677,0.451143157,1661,691.7077653,0.419391158
237,1229,369.3687601,0.281554333,0.251806053,0.266103616,4945,2715.529336,0.251957793
238,1236,254.1632517,0.426669376,0.366816807,0.408065952,4593,1883.161474,0.380615756
239,1237,336.5909358,0.232910505,0.206472474,0.216925193,4863,2667.860172,0.201700888
240,1241,200.2760782,0.341854101,0.246412675,0.337048902,2829,1536.822375,0.2630089
241,1247,231.5758482,0.386164186,0.305422724,0.375575785,2944,1520.167674,0.301781439
242,1249,298.8669264,0.220293881,0.177414603,0.215165739,4662,2491.51705,0.166060402
243,1256,213.5927428,0.272196587,0.19894249,0.266645087,2301,963.5203549,0.181299442
244,1260,385.3208365,0.226428975,0.20420558,0.212718817,3874,2225.7631,0.192325607
245,1270,253.3112174,0.351755879,0.305261487,0.340490281,3090,1693.219198,0.302041164
246,1274,238.2454482,0.796885278,0.743031751,0.780974464,742,516.2170491,0.719181934
247,1285,248.1472867,0.842029429,0.825866194,0.834006385,1199,997.0920358,0.807921993
248,1289,266.1886326,0.908466346,0.900768377,0.905138072,517,252.8367216,0.902388641
249,1290,330.9611548,0.31477105,0.283658966,0.302904152,3064,1697.546798,0.283397269
250,1291,215.0315453,0.64213537,0.590274789,0.622246088,747,299.6403657,0.593041373
251,1292,87.49668926,0.745678232,0.481236649,0.744691856,1490,627.4625838,0.500372787
252,1293,182.0847119,0.749485646,0.668933846,0.742724645,476,190.1520987,0.65321001
253,1298,284.8989936,0.332904891,0.287993366,0.323089714,4509,1909.651628,0.287207751
254,1302,336.8483059,0.200384541,0.172125125,0.189204573,5450,2872.870363,0.175552124
255,1304,328.1439171,0.372826216,0.340364509,0.359203557,5061,2681.957655,0.352023519
256,1305,204.6223781,0.558698091,0.484915063,0.556098607,1550,873.4407159,0.436393719
257,1309,250.790242,0.492437606,0.434503716,0.478106614,1056,450.5424484,0.412586884
258,1311,219.9144204,0.293932751,0.169987709,0.290167725,3363,1844.265534,0.191564912
259,1318,244.5249123,0.427114451,0.349310003,0.409580387,3128,1661.680178,0.360006462
260,1323,316.7098627,0.462145642,0.440571085,0.449295498,2828,1904.340483,0.442814875
261,1324,160.191595,0.441399679,0.328276139,0.432087218,1818,1925.034277,0.357821936
262,1327,272.7128265,0.451874738,0.411482755,0.440814116,2415,1000.750824,0.410813294
263,1334,88.90956028,0.704331425,0.439847427,0.702391278,2825,1843.360672,0.45535674
264,1341,96.50520269,0.782048167,0.607291468,0.761541325,1000,398.6374825,0.55515741
265,1342,171.3356663,0.603554496,0.508103818,0.597585167,1396,617.4173074,0.52555686
266,1358,296.7050489,0.300630901,0.262330552,0.268536406,2818,1586.917618,0.269625504
267,1362,333.2825002,0.313309848,0.253468563,0.289733659,3904,2839.915037,0.254571612
268,1364,310.2041269,0.27884018,0.256153984,0.27166718,5019,2459.164966,0.250395832
269,1372,178.4562348,0.873744616,0.821501661,0.83008076,369,166.9142008,0.834130553
270,1376,300.7513108,0.498141118,0.478556518,0.484087536,3915,2383.418861,0.475952907
271,1377,434.9159874,0.172225221,0.146328351,0.15053519,5599,3158.268992,0.154616706
272,1378,343.429187,0.216322962,0.178275266,0.201277372,3407,1918.254371,0.199527645
273,1380,295.1757611,0.15417578,0.124080591,0.149504198,4700,2441.015276,0.117327069
274,1385,279.8292042,0.83456666,0.808922388,0.801772852,1076,447.9721166,0.825614132
275,1386,210.791491,0.377086111,0.306664656,0.372041839,2918,1581.213055,0.284289956
276,1392,270.4625992,0.931989719,0.907336217,0.916915285,219,89.97472752,0.925833286
277,1396,209.8474139,0.730979089,0.68736327,0.700608918,1187,611.6996305,0.678271309
278,1401,279.8124809,0.331929074,0.248995646,0.325645466,2961,1584.229261,0.24771555
279,1411,234.1470162,0.510206396,0.455800274,0.477823889,1460,997.8264163,0.468787619
280,1414,187.9600281,0.589561549,0.512523502,0.577185061,4869,3198.161591,0.532779346
281,1415,303.9973528,0.657269903,0.611720485,0.648571363,2257,951.6522412,0.645266387
282,1416,180.8574903,0.22174868,0.147918084,0.215952334,3520,1692.274995,0.110465407
283,1422,381.4465587,0.372310674,0.336109813,0.349258065,3143,1687.672002,0.364079066
284,1426,169.2954117,0.725827458,0.635333908,0.702111444,797,314.2755203,0.604539911
285,1428,272.4714773,0.410226517,0.375260743,0.378841142,3433,1901.311164,0.384746735
286,1436,325.5488959,0.604881424,0.572021311,0.584871649,2414,1199.702375,0.600308139
287,1440,247.6245209,0.488980191,0.395543841,0.480379718,881,389.3397005,0.413446139
288,1443,219.1756015,0.651612002,0.571397715,0.642459443,537,220.9173968,0.539036313
289,1445,164.8148542,0.511575151,0.396390093,0.476499407,1380,567.7810527,0.400053993
290,1448,231.4401052,0.264989768,0.179504328,0.256004395,2151,1108.350684,0.188060397
291,1451,197.0442379,0.235131147,0.187377062,0.231962557,4348,2389.293905,0.173784705
292,1456,127.4590387,0.37956971,0.19681511,0.377808434,2239,1364.439663,0.199828085
293,1457,350.914465,0.602286984,0.5706137,0.570494615,2003,831.7646214,0.581327499
294,1458,142.8240926,0.674951809,0.571478537,0.666125069,1361,833.4038637,0.591843248
295,1476,137.5697414,0.622355458,0.583939696,0.583879255,4288,3400.155575,0.600072897
296,1477,239.3575359,0.616977901,0.56853188,0.604581147,5503,1710.988584,0.554616948
